,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z,acc
234,0.74,0.39,0.66,2.47,-0.21,-1.28,1.0655045753069294
235,0.74,0.39,0.66,2.16,-0.15,-1.55,1.0655045753069294
236,0.74,0.4,0.66,2.13,-0.12,-1.68,1.0692053123698928
237,0.74,0.39,0.66,2.16,-0.06,-1.1,1.0655045753069294
238,0.74,0.39,0.65,2.41,-0.18,-1.16,1.0593394168065304
239,0.74,0.4,0.65,2.38,-0.09,-0.98,1.0630616162763098
240,0.74,0.4,0.66,2.35,0.03,-1.25,1.0692053123698928
241,0.73,0.4,0.66,1.86,-0.21,-0.98,1.0623088063270492
242,0.73,0.4,0.65,1.89,-0.67,-0.76,1.0561249926026748
243,0.73,0.39,0.65,2.04,-0.34,-0.21,1.0523782589924593
244,0.73,0.4,0.67,2.65,-0.55,0.03,1.0685504199615476
245,0.73,0.4,0.66,2.53,-0.43,0.4,1.0623088063270492
246,0.73,0.39,0.66,2.59,-1.43,0.55,1.0585839598255775
247,0.73,0.39,0.66,3.11,-1.43,0.79,1.0585839598255775
248,0.73,0.39,0.66,3.72,-1.28,0.73,1.0585839598255775
249,0.73,0.39,0.66,4.79,-1.31,1.19,1.0585839598255775
250,0.73,0.38,0.66,5.24,-1.4,1.22,1.0549407566304376
251,0.73,0.38,0.66,5.79,-1.77,1.34,1.0549407566304376
